date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:58	15440/15440	---MCZ	200	added ('OK')	text/html	etag:%223c50-9KeDZxObZG8mmHGvxiGiXnAzMOo%22	https://fleja-react.envytheme.com/coming-soon	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/coming-soon.html	(from )
11:43:59	169/169	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jul%202020%2006:13:57%20GMT	https://fleja-react.envytheme.com/robots.txt		(from )
11:43:59	2250/2250	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ca-17344164d9d%22	https://fleja-react.envytheme.com/_next/static/XpiozzVBE1GC7ek9HSo8t/pages/coming-soon.js	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/XpiozzVBE1GC7ek9HSo8t/pages/coming-soon.js	(from https://fleja-react.envytheme.com/coming-soon)
11:43:59	56424/56424	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc68-17344164d99%22	https://fleja-react.envytheme.com/_next/static/XpiozzVBE1GC7ek9HSo8t/pages/_app.js	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/XpiozzVBE1GC7ek9HSo8t/pages/_app.js	(from https://fleja-react.envytheme.com/coming-soon)
11:43:59	2338/2338	---MCZ	200	added ('OK')	application/javascript	etag:W/%22922-17344164d75%22	https://fleja-react.envytheme.com/_next/static/runtime/webpack-2531002bc6d1c78704bc.js	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/runtime/webpack-2531002bc6d1c78704bc.js	(from https://fleja-react.envytheme.com/coming-soon)
11:44:00	261715/261715	---MCZ	200	added ('OK')	application/javascript	etag:W/%223fe53-17344164d75%22	https://fleja-react.envytheme.com/_next/static/chunks/commons.51ed8f99190b56445655.js	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/chunks/commons.51ed8f99190b56445655.js	(from https://fleja-react.envytheme.com/coming-soon)
11:44:00	12903/12903	---MCZ	200	added ('OK')	application/javascript	etag:W/%223267-17344164e21%22	https://fleja-react.envytheme.com/_next/static/runtime/main-d6f3d430af94774895d0.js	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/runtime/main-d6f3d430af94774895d0.js	(from https://fleja-react.envytheme.com/coming-soon)
11:44:00	271/271	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210f-17344164d75%22	https://fleja-react.envytheme.com/_next/static/chunks/styles.dcd4f3cd665a2f355ddf.js	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/chunks/styles.dcd4f3cd665a2f355ddf.js	(from https://fleja-react.envytheme.com/coming-soon)
11:44:01	424691/424691	---MCZ	200	added ('OK')	text/css	etag:W/%2267af3-17344164d99%22	https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css	(from https://fleja-react.envytheme.com/coming-soon)
11:44:02	537868/537868	---M--	200	added ('OK')	font/woff2	etag:W/%228350c-17344164d51%22	https://fleja-react.envytheme.com/_next/static/chunks/fonts/icofont-50a4ab76e700a83e649be213f820fbbd.woff2	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/chunks/fonts/icofont-50a4ab76e700a83e649be213f820fbbd.woff2	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:02	106372/106372	---M--	200	added ('OK')	image/jpeg	etag:W/%2219f84-17344164d5d%22	https://fleja-react.envytheme.com/_next/static/images/banner-bg-8a040a8d87c6e4218ccf95dcd92d549d.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/banner-bg-8a040a8d87c6e4218ccf95dcd92d549d.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:03	150893/150893	---M--	200	added ('OK')	image/jpeg	etag:W/%2224d6d-17344164d5d%22	https://fleja-react.envytheme.com/_next/static/images/main-bg-1-9eee62f9f771576d59f49cc06fd1ce7c.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/main-bg-1-9eee62f9f771576d59f49cc06fd1ce7c.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:03	157727/157727	---M--	200	added ('OK')	image/jpeg	etag:W/%222681f-17344164d5d%22	https://fleja-react.envytheme.com/_next/static/images/main-bg-2-703ff99d6e154c868e541e01910decf5.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/main-bg-2-703ff99d6e154c868e541e01910decf5.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:03	645604/645604	---M--	200	added ('OK')	font/woff	etag:W/%229d9e4-17344164d51%22	https://fleja-react.envytheme.com/_next/static/chunks/fonts/icofont-f6ab04aed30a8643bf94fe00f7ff0b59.woff	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/chunks/fonts/icofont-f6ab04aed30a8643bf94fe00f7ff0b59.woff	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:03	38716/38716	---M--	200	added ('OK')	image/jpeg	etag:W/%22973c-17344164d55%22	https://fleja-react.envytheme.com/_next/static/images/main-bg-4-8d2a10c9094f2460b028db96d30a8312.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/main-bg-4-8d2a10c9094f2460b028db96d30a8312.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:03	49109/49109	---M--	200	added ('OK')	image/jpeg	etag:W/%22bfd5-17344164d5d%22	https://fleja-react.envytheme.com/_next/static/images/main-bg-5-3e742b2a524c2a2f62ecf6e7aef9d8d9.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/main-bg-5-3e742b2a524c2a2f62ecf6e7aef9d8d9.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:03	34312/34312	---M--	200	added ('OK')	image/jpeg	etag:W/%228608-17344164d5d%22	https://fleja-react.envytheme.com/_next/static/images/main-bg-6-dfd8d0fffa4810fedc6aed93c9f9188a.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/main-bg-6-dfd8d0fffa4810fedc6aed93c9f9188a.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:04	75264/75264	---M--	200	added ('OK')	image/jpeg	etag:W/%2212600-1734416887a%22	https://fleja-react.envytheme.com/_next/static/images/cta-about-cf919789744c9b36af549d69d5131126.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/cta-about-cf919789744c9b36af549d69d5131126.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:04	345768/345768	---M--	200	added ('OK')	image/jpeg	etag:W/%22546a8-17344164d5d%22	https://fleja-react.envytheme.com/_next/static/images/main-bg-3-a8d5553a0168142e457fbe35b701a598.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/main-bg-3-a8d5553a0168142e457fbe35b701a598.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
11:44:04	58924/58924	---M--	200	added ('OK')	image/jpeg	etag:W/%22e62c-17344164d5d%22	https://fleja-react.envytheme.com/_next/static/images/bg-shape-deda47a4123c24c40dcab96cd3a00dec.jpg	C:/My%20Web%20Sites/heureux%20coming%20soon/fleja-react.envytheme.com/_next/static/images/bg-shape-deda47a4123c24c40dcab96cd3a00dec.jpg	(from https://fleja-react.envytheme.com/_next/static/css/styles.1f6124a8.chunk.css)
